lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
6063	Migrant Seasonal							Migrant Saisonnier									Μετανάστης Εποχιακός			Migrant Sazonal																																				dummy
6064	Migrant/Seasonal	Migrerande / Säsong	Migrantes / temporada	Migrantes / temporada	Migrant / Seasonal	Tijdelijk verblijf	מהגר/עונתי	Migrant/Saisonnier			移民/季节	移民/季節	Мигрант/сезонный рабочий	Վերբնակիչ/ սեզոնային աշխատող		Migran/Musiman	Μετανάστης/Εποχιακός		Migrante/Sazonal	Imigrantes / Temporário		مهاجر / موسمى	Migrerande / Säsong	Göçer/Mevsimlik			Migrante/Stagionale	प्रवासी / मौसमी	Migrant/sezoier	Nhập cư/Theo mùa		Migrant/Sezonal	Migrující/sezónní	Мігрант /сезонний робочий			مهاجر/فصلی										स्थलांतरित / हंगामी			प्रवासी / मौसमी						dummy
6065	Mil/CU.MM		Mil/CU.MM	Mil/CU.MM	Mil/CU.MM	Mil/CU.MM	Mil/CU.MM				MIL / CU.MM	Mil/立方公釐	млн/куб.мм	մլն/խոր․մմ		Mil/CU.MM			Mil/CU.MM	Mil/CU.MM		مليون لكل مم مربع		Mil/mm3			Mil/CU.MM (cm cubo)	लाख / CU.MM	Mil/CU.MM	Triệu / CU.MM				млн/куб.мм													रशीद / CU.MM			लाख / CU.MM						dummy
6066	Mild						עדין~קל							Մեղմ			Ήπια		Leve	Leve									Slab																											dummy
6067	Mild to moderate					Milde tot matige	קל עד מתון										Ήπια προς Μέτρια		Leve a moderado	Leve a moderado									Slab la moderat																											dummy
6068	Military Treatment Facility					Militair Behandelcentrum											Στρατιωτικό Νοσοκομείο			Instalação de tratamento militar									Unitate de tratament militar																											dummy
6069	MIME Type					Mime type	סוג MIME							MIME տեսակը						Tipo MIME							MIME Type		MIME Type				MIME typ							MIME Type	MIME-tyyppi						MIME प्रकार									dummy
6070	MimeType		Mime Tipo	Mime Tipo	Mime type	Mime type	MimeType				Mime类型	Mime類型	MimeType	Mime տեսակը		Tipe/Jenis Mime(Pantomim/Meniru-niru)	MimeType		Mimique Tipo	MimeType		MimeType		Mime Tipi			Tipo Mime	माइम प्रकार	MimeType	Kiểu MIME			Mime typ	Mime-тип						MimeType	MIME-tyyppi						MimeType			माइम प्रकार						dummy
6071	Min		min	min	Min	Min	מינימום	Min			分	分	мин	նվազագույն		Min	Ελάχ.			Min		اﻻقل			Min		Min	मिनट	Min	Phút		Min	Min	Мін			حداقل			最小							किमान			मिनट						dummy
6072	min		Mínimo	Mínimo	min	min	מינימום	min			分	分	мин	նվազագույն		min	λεπτά		min	min		اﻻقل		dak	min		min	मिनट	min	phút		min	min	мін			حداقل			最小							मि			मिनट						dummy
6073	Min length is 8 with upper,lowercase,numbers mix																																																							dummy
6074	Mini																			Mini																																				dummy
6075	Minimal Logging																																																							dummy
6076	Minimize this panel																																																							dummy
6077	Minimum Age		Edad Mínima	Edad Mínima	Mindestalter	Minimum leeftijd	גיל מינימום	Age minimum			最低年龄	最小年紀	Минимальный возраст	Նվազագույն տարիք		Usia Minimum	Ελάχιστη Ηλικία			Idade minima		أقل سن	Minimum alder		Minimalny wiek		Età minima	न्यूनतम आयु	Varsta minima	Tuổi Tối thiểu		Minimum Vite	Minimální věk	Мінімальний вік			حداقل سن			最低年齢							किमान वय			न्यूनतम आयु						dummy
6078	Minimum length of password.																																																							dummy
6079	Minimum Password Length																																																							dummy
6080	Minor joint strain +/- synovitis		Menor tensión conjunta /-Sinovitis	Distensión menor de articulación /-Sinovitis	Zerrung +/- synovitis	Distorsie +/- synovitis	נקע מפרקים קל +/- דלקת קרום המפרק				小关节劳损+ / -滑膜炎	輕微的關節扭傷+/ - 滑膜炎	Легкое растяжение сустава +/- синовиит			Ketengan persendian minor +/- sinovitis	Ήπιο διάστρεμμα άρθρωσης +/- Θυλακίτις		pequenas articulações dolorosas+/- Sinovite	Menor tensão comum + / - sinovite		اجهاد مفصل طفيف +/- التهاب زﻻلي		Hafif eklem burkulması +/- sinovit			Minore sforzo comune + / - sinovite	मामूली जोड़ों का तनाव / - श्लेषक कलाशोथ	Minor joint strain +/- synovitis	Chủng doanh nhỏ + / - viêm màng hoạt dịch			Lehká kloubní distenze +/- synovitis	Легке розтягнення суглоба +/- синовіїт			Minor joint strain +/- synovitis										लघु संयुक्त ताण +/- सीरमी पटलाचा दाह यामध्ये बहुधा सांध्यात द्रव जमतो, संधिदाह व दीर्घकाळ दाह झाल्याने ऍकिलोसिस होतो			मामूली जोड़ों का तनाव / - श्लेषक कलाशोथ						dummy
6081	minute						דקה							րոպե			λεπτό			minuto									minut			minut																								dummy
6082	Minute		Minuto	Minuto	Minuten	Minuut	דקה	Minute			分钟	分鐘	Минута	Րոպե		Menit	Λεπτό			minuto		دقيقة	Minut		Minuta		Minuto	मिनट	Minut	Phút		Minut	Minuta	Хвилина	মিনিট		دقیقه			分	Minuutti						मिनिट			मिनट						dummy
